timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759452993410,75,POST /auth/login,200,,TC_LOGIN 1-126,text,true,,1220,270,1,1,http://localhost:8080/auth/login,75,0,1
1759452993708,72,POST /auth/login,200,,TC_LOGIN 1-127,text,true,,1220,270,1,1,http://localhost:8080/auth/login,72,0,1
1759452994009,76,POST /auth/login,200,,TC_LOGIN 1-128,text,true,,1220,270,1,1,http://localhost:8080/auth/login,76,0,1
1759452994303,71,POST /auth/login,200,,TC_LOGIN 1-129,text,true,,1220,270,1,1,http://localhost:8080/auth/login,70,0,0
1759452994603,71,POST /auth/login,200,,TC_LOGIN 1-130,text,true,,1220,270,1,1,http://localhost:8080/auth/login,71,0,0
1759452994909,71,POST /auth/login,200,,TC_LOGIN 1-131,text,true,,1220,270,1,1,http://localhost:8080/auth/login,71,0,1
1759452995206,71,POST /auth/login,200,,TC_LOGIN 1-132,text,true,,1220,270,1,1,http://localhost:8080/auth/login,71,0,1
1759452995517,70,POST /auth/login,200,,TC_LOGIN 1-133,text,true,,1220,270,1,1,http://localhost:8080/auth/login,70,0,1
1759452995807,72,POST /auth/login,200,,TC_LOGIN 1-134,text,true,,1220,270,1,1,http://localhost:8080/auth/login,72,0,0
1759452996110,71,POST /auth/login,200,,TC_LOGIN 1-135,text,true,,1220,270,1,1,http://localhost:8080/auth/login,71,0,1
1759452996409,71,POST /auth/login,200,,TC_LOGIN 1-136,text,true,,1220,270,1,1,http://localhost:8080/auth/login,71,0,1
1759452996708,71,POST /auth/login,200,,TC_LOGIN 1-137,text,true,,1220,270,1,1,http://localhost:8080/auth/login,71,0,1
1759452997017,71,POST /auth/login,200,,TC_LOGIN 1-138,text,true,,1220,270,1,1,http://localhost:8080/auth/login,71,0,0
1759452997308,71,POST /auth/login,200,,TC_LOGIN 1-139,text,true,,1220,270,1,1,http://localhost:8080/auth/login,71,0,0
